name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug
Concordia University-Wisconsin,56%,"$41,200 USD",12:1,99%,"$24,148 USD",,66.7%,1508,"Mequon, Wisconsin",1508,"8,268",4594,Concordia-University-Wisconsin
Yeshiva College of the Nations Capital,100%,,8:1,67%,"$8,053 USD",,,,"Silver  Spring, Maryland",,,5982,Yeshiva-College-of-the-Nations-Capital
Northwest Nazarene University,49%,"$35,900 USD",15:1,99%,"$19,789 USD",,56.3%,1535,"Nampa, Idaho",1535,"2,207",1116,Northwest-Nazarene-University
Murray State University,53%,"$35,300 USD",15:1,99%,"$10,034 USD",,90.6%,1582,"Murray, Kentucky",1582,"10,998",1634,Murray-State-University
Northwest Christian University,44%,"$43,100 USD",12:1,100%,"$20,295 USD",,68.0%,1477,"Eugene, Oregon",1477,740,3521,Northwest-Christian-University
Nova Southeastern University,41%,"$45,200 USD",16:1,98%,"$23,638 USD",,59.2%,1653,"Fort Lauderdale, Florida",1653,"23,236",910,Nova-Southeastern-University
University of Memphis,44%,"$35,700 USD",14:1,97%,"$13,154 USD",,39.8%,1500,"Memphis, Tennessee",1500,"20,585",4016,University-of-Memphis
Monroe College,71%,"$27,400 USD",18:1,98%,"$12,389 USD",,45.3%,,"Bronx, New York",,"6,858",2859,Monroe-College
Judson College,41%,"$29,300 USD",9:1,99%,"$13,901 USD",,62.9%,1575,"Marion, Alabama",1575,374,34,Judson-College
Northwood University-Michigan,53%,"$43,200 USD",14:1,97%,"$21,908 USD",,69.4%,1477,"Midland, Michigan",1477,"3,337",2104,Northwood-University-Michigan
California State University-Northridge,46%,"$43,100 USD",27:1,85%,"$7,075 USD",,45.6%,1350,"Northridge, California",1350,"41,548",268,California-State-University-Northridge
Bay Path University,55%,"$41,100 USD",12:1,98%,"$21,549 USD",,77.3%,1426,"Longmeadow, Massachusetts",1426,"3,107",1883,Bay-Path-University
Northwood University-Florida,39%,"$44,600 USD",15:1,98%,"$20,155 USD",,39.8%,1345,"West Palm Beach, Florida",1345,,909,Northwood-University-Florida
North Dakota State University-Main Campus,53%,"$46,700 USD",18:1,90%,"$14,654 USD",,93.6%,1610,"Fargo, North Dakota",1610,"14,516",3174,North-Dakota-State-University-Main-Campus
California State University-San Marcos,48%,"$45,400 USD",24:1,80%,"$10,543 USD",,54.0%,1425,"San Marcos, California",1425,"12,793",5002,California-State-University-San-Marcos
Grace University,48%,"$31,900 USD",12:1,100%,"$16,962 USD",,58.6%,1455,"Omaha, Nebraska",1455,471,2463,Grace-University
Central Washington University,51%,"$44,500 USD",20:1,85%,"$15,189 USD",,81.6%,1430,"Ellensburg, Washington",1430,"11,993",4459,Central-Washington-University
Mount Saint Mary College,52%,"$46,800 USD",14:1,100%,"$26,097 USD",,89.6%,1451,"Newburgh, New York",1451,"2,508",2862,Mount-Saint-Mary-College
University of Wisconsin-Whitewater,55%,"$41,400 USD",22:1,81%,"$12,000 USD",,80.5%,1480,"Whitewater, Wisconsin",1480,"12,360",4637,University-of-Wisconsin-Whitewater
Bethel College-North Newton,53%,"$37,900 USD",10:1,100%,"$19,861 USD",,53.2%,1247,"North Newton, Kansas",1247,525,1515,Bethel-College-North-Newton
Northwest Missouri State University,48%,"$38,000 USD",20:1,96%,"$10,548 USD",,74.9%,1462,"Maryville, Missouri",1462,"6,593",2377,Northwest-Missouri-State-University
Benedictine College,59%,"$39,600 USD",13:1,100%,"$24,879 USD",,99.1%,1719,"Atchison, Kansas",1719,"2,189",1513,Benedictine-College
The King's College,61%,,15:1,99%,"$29,976 USD",,39.6%,1745,"New York, New York",1745,513,7572,The-King-s-College
Carver Bible College,78%,,9:1,71%,"$13,269 USD",,,,"Atlanta, Georgia",,,7961,Carver-Bible-College
Dewey University-Hato Rey,76%,"$16,100 USD",19:1,98%,"$4,701 USD",,,,"Hato Rey, Puerto Rico",,,6421,Dewey-University-Hato-Rey
Menlo College,41%,"$46,400 USD",14:1,93%,"$30,689 USD",,38.1%,1495,"Atherton, California",1495,787,467,Menlo-College
University of South Dakota,54%,"$39,400 USD",17:1,93%,"$15,898 USD",,73.5%,1535,"Vermillion, South Dakota",1535,"9,971",3959,University-of-South-Dakota
Bloomsburg University of Pennsylvania,62%,"$43,900 USD",21:1,88%,"$16,031 USD",,87.7%,1450,"Bloomsburg, Pennsylvania",1450,"9,737",3582,Bloomsburg-University-of-Pennsylvania
Pacific Union College,37%,"$45,700 USD",15:1,100%,"$23,853 USD",,45.2%,1470,"Angwin, California",1470,"1,555",523,Pacific-Union-College
D'Youville College,41%,"$48,000 USD",9:1,97%,"$19,252 USD",,72.6%,1500,"Buffalo, New York",1500,"2,909",2773,D-Youville-College
New York Institute of Technology,47%,"$50,300 USD",14:1,93%,"$23,552 USD",,67.8%,1605,"Old Westbury, New York",1605,"8,064",2884,New-York-Institute-of-Technology
Kentucky Mountain Bible College,67%,,14:1,100%,"$12,729 USD",,62.7%,,"Jackson, Kentucky",,68,1616,Kentucky-Mountain-Bible-College
Touro College,57%,"$29,400 USD",16:1,92%,"$16,284 USD",,34.1%,,"New York, New York",,"13,033",2990,Touro-College
University of Charleston,46%,"$42,100 USD",14:1,96%,"$18,799 USD",,52.4%,1442,"Charleston, West Virginia",1442,"2,327",4540,University-of-Charleston
Goldey-Beacom College,43%,"$40,000 USD",19:1,100%,"$14,677 USD",,44.2%,1342,"Wilmington, Delaware",1342,"1,997",794,Goldey-Beacom-College
Coker College,43%,"$31,100 USD",12:1,99%,"$16,805 USD",,49.7%,1455,"Hartsville, South Carolina",1455,"1,282",3884,Coker-College
Pace University-New York,51%,"$57,700 USD",14:1,97%,"$29,421 USD",,83.8%,1575,"New York, New York",1575,"12,843",2893,Pace-University-New-York
Bethany College,48%,"$39,800 USD",11:1,98%,"$18,454 USD",,70.2%,1310,"Bethany, West Virginia",1310,737,4536,Bethany-College
Bowling Green State University-Main Campus,54%,"$38,800 USD",20:1,96%,"$17,516 USD",,72.7%,1537,"Bowling Green, Ohio",1537,"16,908",3209,Bowling-Green-State-University-Main-Campus
Mid-Atlantic Christian University,60%,"$29,700 USD",12:1,98%,"$15,743 USD",,42.0%,1400,"Elizabeth City, North Carolina",1400,204,3123,Mid-Atlantic-Christian-University
Oral Roberts University,53%,"$35,100 USD",16:1,96%,"$22,509 USD",,64.0%,1509,"Tulsa, Oklahoma",1509,"3,611",3464,Oral-Roberts-University
University of North Dakota,53%,"$46,400 USD",21:1,88%,"$16,001 USD",,81.9%,1582,"Grand Forks, North Dakota",1582,"14,951",3171,University-of-North-Dakota
Pfeiffer University,49%,"$36,000 USD",12:1,100%,"$18,316 USD",,46.5%,1398,"Misenheimer, North Carolina",1398,"1,624",3116,Pfeiffer-University
Texas A&M International University,43%,"$43,200 USD",19:1,87%,"$9,212 USD",,48.0%,1355,"Laredo, Texas",1355,"7,192",4167,Texas-A-And-M-International-University
Saint Josephs College,44%,"$40,200 USD",14:1,99%,"$16,744 USD",,71.2%,1432,"Rensselaer, Indiana",1432,"1,066",1413,Saint-Josephs-College
Bridgewater State University,58%,"$42,300 USD",19:1,80%,"$15,313 USD",,80.7%,1492,"Bridgewater, Massachusetts",1492,"11,089",1897,Bridgewater-State-University
DigiPen Institute of Technology,56%,"$79,400 USD",13:1,68%,"$33,624 USD",,46.6%,1776,"Redmond, Washington",1776,"1,076",6408,DigiPen-Institute-of-Technology
Pennsylvania State University-Penn State Shenango,31%,"$47,700 USD",11:1,99%,"$13,034 USD",,68.2%,1385,"Sharon, Pennsylvania",1385,508,3728,Pennsylvania-State-University-Penn-State-Shenango
Cornerstone University,48%,"$35,700 USD",20:1,100%,"$18,951 USD",,73.0%,1574,"Grand Rapids, Michigan",1574,"2,572",2060,Cornerstone-University
Graceland University-Lamoni,47%,"$36,300 USD",16:1,100%,"$17,125 USD",,47.9%,1290,"Lamoni, Iowa",1290,"2,300",1449,Graceland-University-Lamoni
LaGrange College,38%,"$39,600 USD",12:1,99%,"$20,438 USD",,57.3%,1465,"Lagrange, Georgia",1465,"1,028",1039,LaGrange-College
Suffolk University,55%,"$51,200 USD",13:1,94%,"$31,390 USD",,82.4%,1520,"Boston, Massachusetts",1520,"7,922",2004,Suffolk-University
Trinity International University-Illinois,45%,"$38,100 USD",14:1,100%,"$20,581 USD",,66.3%,1522,"Deerfield, Illinois",1522,"2,237",1307,Trinity-International-University-Illinois
Georgian Court University,51%,"$43,700 USD",12:1,100%,"$16,614 USD",,72.8%,1409,"Lakewood, New Jersey",1409,"2,122",2584,Georgian-Court-University
Western Michigan University,55%,"$42,700 USD",17:1,83%,"$15,358 USD",,82.4%,1530,"Kalamazoo, Michigan",1530,"23,529",2133,Western-Michigan-University
Adrian College,54%,"$37,100 USD",13:1,95%,"$23,129 USD",,61.0%,1470,"Adrian, Michigan",1470,"1,715",2018,Adrian-College
Saint Martin's University,48%,"$45,100 USD",11:1,93%,"$20,571 USD",,93.1%,1529,"Lacey, Washington",1529,"1,719",4505,Saint-Martin-s-University
Shorter University,46%,"$43,600 USD",15:1,99%,"$17,029 USD",,62.9%,1415,"Rome, Georgia",1415,"1,472",1064,Shorter-University
Savannah College of Art and Design,68%,"$35,100 USD",20:1,98%,"$38,645 USD",,69.9%,1585,"Savannah, Georgia",1585,"11,861",1062,Savannah-College-of-Art-and-Design
Western Illinois University,56%,"$41,100 USD",14:1,88%,"$16,412 USD",,60.1%,,"Macomb, Illinois",,"11,094",1314,Western-Illinois-University
The University of West Florida,42%,"$35,800 USD",22:1,87%,"$10,282 USD",,41.5%,1520,"Pensacola, Florida",1520,"12,763",967,The-University-of-West-Florida
University of New Mexico-Main Campus,48%,"$34,900 USD",19:1,96%,"$11,107 USD",,57.9%,1620,"Albuquerque, New Mexico",1620,"27,285",2664,University-of-New-Mexico-Main-Campus
Warner University,40%,"$40,300 USD",17:1,100%,"$15,865 USD",,51.2%,1297,"Lake Wales, Florida",1297,"1,183",962,Warner-University
California State University-Sacramento,43%,"$46,100 USD",27:1,83%,"$8,956 USD",,67.3%,1421,"Sacramento, California",1421,"30,284",269,California-State-University-Sacramento
Florida Gulf Coast University,44%,"$41,400 USD",22:1,71%,"$13,771 USD",,60.6%,1575,"Fort Myers, Florida",1575,"14,833",5939,Florida-Gulf-Coast-University
Piedmont International University,47%,"$30,300 USD",7:1,100%,"$14,981 USD",,24.2%,1365,"Winston-Salem, North Carolina",1365,691,3117,Piedmont-International-University
Lasell College,53%,"$40,700 USD",13:1,97%,"$26,189 USD",,78.1%,1445,"Newton, Massachusetts",1445,"2,160",1939,Lasell-College
Montclair State University,63%,"$48,300 USD",17:1,78%,"$14,549 USD",,70.1%,1465,"Montclair, New Jersey",1465,"20,465",2603,Montclair-State-University
The Baptist College of Florida,37%,"$30,800 USD",11:1,97%,"$10,360 USD",,52.2%,1515,"Graceville, Florida",1515,481,817,The-Baptist-College-of-Florida
