name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug
Middlebury College,94%,"$55,100 USD",8:1,50%,"$20,197 USD",31,17.4%,2090,"Middlebury, Vermont",2090,"2,558",4335,Middlebury-College
University of Michigan-Ann Arbor,90%,"$57,400 USD",12:1,61%,"$15,757 USD",32,26.3%,2080,"Ann Arbor, Michigan",2080,"43,651",2086,University-of-Michigan-Ann-Arbor
Davidson College,92%,"$51,800 USD",10:1,70%,"$22,865 USD",33,22.1%,2015,"Davidson, North Carolina",2015,"1,784",3052,Davidson-College
Vassar College,94%,"$49,300 USD",8:1,71%,"$21,265 USD",34,25.7%,2115,"Poughkeepsie, New York",2115,"2,435",3002,Vassar-College
University of Virginia-Main Campus,93%,"$60,100 USD",15:1,57%,"$14,539 USD",35,29.8%,2025,"Charlottesville, Virginia",2025,"23,883",4437,University-of-Virginia-Main-Campus
Boston College,91%,"$66,700 USD",14:1,55%,"$26,284 USD",36,28.5%,2050,"Chestnut Hill, Massachusetts",2050,"14,354",1893,Boston-College
University of California-Los Angeles,90%,"$59,600 USD",16:1,65%,"$13,816 USD",37,17.3%,1985,"Los Angeles, California",1985,"41,908",273,University-of-California-Los-Angeles
Colby College,93%,"$52,300 USD",10:1,45%,"$18,908 USD",38,22.5%,2045,"Waterville, Maine",2045,"1,857",1776,Colby-College
University of North Carolina at Chapel Hill,90%,"$51,000 USD",14:1,66%,"$10,785 USD",39,30.5%,1970,"Chapel Hill, North Carolina",1970,"29,084",3104,University-of-North-Carolina-at-Chapel-Hill
Emory University,91%,"$59,400 USD",8:1,51%,"$25,928 USD",40,23.7%,2065,"Atlanta, Georgia",2065,"13,788",1016,Emory-University
College of William and Mary,90%,"$55,000 USD",12:1,54%,"$14,310 USD",41,34.5%,2030,"Williamsburg, Virginia",2030,"8,484",4356,College-of-William-and-Mary
Wellesley College,91%,"$56,500 USD",7:1,65%,"$22,138 USD",42,29.9%,2090,"Wellesley, Massachusetts",2090,"2,510",2007,Wellesley-College
Carleton College,92%,"$49,500 USD",9:1,77%,"$31,568 USD",43,20.6%,2125,"Northfield, Minnesota",2125,"2,014",2150,Carleton-College
Colgate University,91%,"$60,300 USD",9:1,51%,"$21,741 USD",44,27.4%,2025,"Hamilton, New York",2025,"2,861",2738,Colgate-University
Franklin W Olin College of Engineering,99%,,8:1,100%,"$32,734 USD",45,11.0%,2245,"Needham, Massachusetts",2245,370,6304,Franklin-W-Olin-College-of-Engineering
University of Richmond,85%,"$59,900 USD",8:1,67%,"$21,744 USD",46,31.1%,1975,"University Of Richmond, Virginia",1975,"4,181",4417,University-of-Richmond
United States Merchant Marine Academy,77%,"$82,000 USD",13:1,16%,"$4,701 USD",47,21.7%,1830,"Kings Point, New York",1830,930,2998,United-States-Merchant-Marine-Academy
Bowdoin College,93%,"$55,300 USD",9:1,47%,"$23,156 USD",48,14.9%,2165,"Brunswick, Maine",2165,"1,799",1772,Bowdoin-College
University of Southern California,91%,"$67,700 USD",9:1,61%,"$31,384 USD",49,17.7%,2085,"Los Angeles, California",2085,"43,401",615,University-of-Southern-California
Lafayette College,88%,"$68,800 USD",10:1,55%,"$24,993 USD",50,30.2%,1930,"Easton, Pennsylvania",1930,"2,533",3676,Lafayette-College
Babson College,91%,"$86,700 USD",14:1,53%,"$27,597 USD",51,26.3%,1945,"Wellesley, Massachusetts",1945,"3,057",1880,Babson-College
Barnard College,90%,"$56,800 USD",10:1,56%,"$23,741 USD",52,19.6%,2050,"New York, New York",2050,"2,548",2701,Barnard-College
Grinnell College,86%,"$43,100 USD",9:1,92%,"$28,869 USD",53,24.9%,2107,"Grinnell, Iowa",2107,"1,705",1451,Grinnell-College
Hamilton College,93%,"$54,800 USD",9:1,57%,"$21,907 USD",54,24.8%,2085,"Clinton, New York",2085,"1,877",2794,Hamilton-College
Bucknell University,91%,"$69,100 USD",10:1,59%,"$35,677 USD",55,24.8%,1940,"Lewisburg, Pennsylvania",1940,"3,625",3586,Bucknell-University
Carnegie Mellon University,88%,"$76,200 USD",10:1,59%,"$33,657 USD",56,23.7%,2165,"Pittsburgh, Pennsylvania",2165,"12,963",3596,Carnegie-Mellon-University
Lehigh University,86%,"$76,700 USD",10:1,67%,"$27,715 USD",57,30.4%,1987,"Bethlehem, Pennsylvania",1987,"7,054",3686,Lehigh-University
College of the Holy Cross,91%,"$63,100 USD",10:1,69%,"$24,728 USD",58,37.0%,1897,"Worcester, Massachusetts",1897,"2,729",1933,College-of-the-Holy-Cross
Brandeis University,90%,"$56,800 USD",10:1,63%,"$30,383 USD",59,34.0%,2035,"Waltham, Massachusetts",2035,"5,752",1896,Brandeis-University
Georgia Institute of Technology-Main Campus,82%,"$74,500 USD",19:1,77%,"$12,736 USD",60,32.2%,2090,"Atlanta, Georgia",2090,"25,034",1020,Georgia-Institute-of-Technology-Main-Campus
Bates College,93%,"$51,600 USD",10:1,47%,"$24,956 USD",61,21.8%,2032,"Lewiston, Maine",2032,"1,792",1770,Bates-College
Kenyon College,89%,"$44,700 USD",10:1,61%,"$28,253 USD",62,25.6%,2000,"Gambier, Ohio",2000,"1,711",3295,Kenyon-College
Bryn Mawr College,84%,"$53,600 USD",8:1,75%,"$32,630 USD",63,38.5%,2030,"Bryn Mawr, Pennsylvania",2030,"1,692",3585,Bryn-Mawr-College
Villanova University,90%,"$73,900 USD",12:1,64%,"$31,668 USD",64,47.9%,1940,"Villanova, Pennsylvania",1940,"10,711",3829,Villanova-University
Macalester College,87%,"$46,500 USD",10:1,87%,"$28,009 USD",65,39.0%,2030,"Saint Paul, Minnesota",2030,"2,172",2172,Macalester-College
University of California-San Diego,86%,"$59,000 USD",19:1,64%,"$14,933 USD",66,33.7%,1990,"La Jolla, California",1990,"32,906",275,University-of-California-San-Diego
University of Florida,87%,"$51,100 USD",20:1,94%,"$14,610 USD",67,47.5%,1880,"Gainesville, Florida",1880,"50,645",860,University-of-Florida
Case Western Reserve University,80%,"$68,600 USD",11:1,86%,"$31,356 USD",68,36.3%,2065,"Cleveland, Ohio",2065,"11,340",3219,Case-Western-Reserve-University
Wesleyan University,92%,"$48,400 USD",8:1,50%,"$22,257 USD",69,22.2%,2090,"Middletown, Connecticut",2090,"3,138",782,Wesleyan-University
St Olaf College,87%,"$45,000 USD",12:1,92%,"$26,183 USD",70,36.0%,1912,"Northfield, Minnesota",1912,"3,046",2219,St-Olaf-College
Scripps College,84%,"$47,800 USD",10:1,59%,"$35,211 USD",71,27.9%,2055,"Claremont, California",2055,989,587,Scripps-College
Bentley University,87%,"$76,900 USD",12:1,79%,"$33,133 USD",72,42.3%,1835,"Waltham, Massachusetts",1835,"5,552",1887,Bentley-University
Union College-Schenectady,88%,"$64,000 USD",10:1,84%,"$37,358 USD",73,38.3%,1950,"Schenectady, New York",1950,"2,269",2995,Union-College-Schenectady
Trinity University,82%,"$54,000 USD",9:1,98%,"$26,165 USD",74,48.0%,1897,"San Antonio, Texas",1897,"2,438",4273,Trinity-University
Rensselaer Polytechnic Institute,85%,"$79,600 USD",15:1,90%,"$37,820 USD",75,41.9%,2077,"Troy, New York",2077,"6,982",2910,Rensselaer-Polytechnic-Institute
Santa Clara University,84%,"$67,600 USD",12:1,72%,"$37,198 USD",76,48.8%,1957,"Santa Clara, California",1957,"8,680",583,Santa-Clara-University
University of Maryland-College Park,84%,"$60,500 USD",17:1,74%,"$14,697 USD",77,44.9%,1972,"College Park, Maryland",1972,"38,140",1840,University-of-Maryland-College-Park
Soka University of America,84%,,8:1,100%,"$12,295 USD",78,46.1%,1830,"Aliso Viejo, California",1830,444,5365,Soka-University-of-America
University of California-Santa Barbara,81%,"$51,400 USD",17:1,71%,"$16,211 USD",79,32.6%,1795,"Santa Barbara, California",1795,"23,497",277,University-of-California-Santa-Barbara
University of California-Irvine,86%,"$54,500 USD",19:1,74%,"$14,662 USD",80,38.7%,1725,"Irvine, California",1725,"30,836",272,University-of-California-Irvine
Skidmore College,86%,"$43,000 USD",8:1,58%,"$24,038 USD",81,36.5%,1841,"Saratoga Springs, New York",1841,"2,642",2935,Skidmore-College
Wake Forest University,86%,"$59,800 USD",10:1,48%,"$24,929 USD",82,29.4%,1980,"Winston-Salem, North Carolina",1980,"7,837",3143,Wake-Forest-University
New York University,84%,"$58,800 USD",10:1,60%,"$35,106 USD",83,32.1%,2040,"New York, New York",2040,"50,027",2878,New-York-University
Oberlin College,89%,"$40,300 USD",9:1,89%,"$40,550 USD",84,28.8%,2035,"Oberlin, Ohio",2035,"2,929",3336,Oberlin-College
Rhodes College,78%,"$51,800 USD",10:1,94%,"$29,659 USD",85,46.9%,1920,"Memphis, Tennessee",1920,"2,063",4033,Rhodes-College
University of Rochester,85%,"$56,400 USD",10:1,87%,"$33,682 USD",86,33.8%,2010,"Rochester, New York",2010,"11,105",2915,University-of-Rochester
Colorado College,87%,"$39,700 USD",10:1,57%,"$21,027 USD",87,17.1%,1985,"Colorado Springs, Colorado",1985,"2,131",664,Colorado-College
Franklin and Marshall College,87%,"$52,700 USD",9:1,63%,"$23,092 USD",88,32.3%,1965,"Lancaster, Pennsylvania",1965,"2,249",3643,Franklin-and-Marshall-College
Occidental College,88%,"$48,500 USD",10:1,70%,"$31,645 USD",89,44.9%,1937,"Los Angeles, California",1937,"2,023",510,Occidental-College
The College of New Jersey,84%,"$56,000 USD",13:1,79%,"$20,146 USD",90,48.7%,1815,"Ewing, New Jersey",1815,"7,406",2643,The-College-of-New-Jersey
Boston University,84%,"$59,500 USD",12:1,57%,"$32,732 USD",91,32.6%,1950,"Boston, Massachusetts",1950,"32,158",1895,Boston-University
University of Illinois at Urbana-Champaign,84%,"$56,600 USD",19:1,63%,"$16,841 USD",92,65.6%,2010,"Champaign, Illinois",2010,"45,842",1195,University-of-Illinois-at-Urbana-Champaign
University of Wisconsin-Madison,83%,"$51,600 USD",18:1,67%,"$16,060 USD",93,57.6%,1940,"Madison, Wisconsin",1940,"42,716",4651,University-of-Wisconsin-Madison
Rose-Hulman Institute of Technology,78%,"$79,200 USD",13:1,99%,"$40,198 USD",94,57.8%,1905,"Terre Haute, Indiana",1905,"2,354",1410,Rose-Hulman-Institute-of-Technology
Gettysburg College,84%,"$52,600 USD",10:1,83%,"$31,726 USD",95,39.8%,1927,"Gettysburg, Pennsylvania",1927,"2,447",3646,Gettysburg-College
Whitman College,88%,"$43,800 USD",9:1,80%,"$36,894 USD",96,42.7%,1960,"Walla Walla, Washington",1960,"1,470",4527,Whitman-College
George Washington University,81%,"$65,400 USD",13:1,78%,"$37,404 USD",97,46.5%,1935,"Washington, District of Columbia",1935,"26,212",804,George-Washington-University
Stevens Institute of Technology,79%,"$83,700 USD",10:1,99%,"$34,935 USD",98,43.6%,1998,"Hoboken, New Jersey",1998,"6,359",2637,Stevens-Institute-of-Technology
Trinity College,86%,"$54,700 USD",10:1,48%,"$23,980 USD",99,33.4%,1881,"Hartford, Connecticut",1881,"2,397",779,Trinity-College
Cooper Union for the Advancement of Science and Art,82%,"$53,800 USD",9:1,100%,"$40,617 USD",100,,2035,"New York, New York",2035,,2747,Cooper-Union-for-the-Advancement-of-Science-and-Art
SUNY at Binghamton,81%,"$57,400 USD",20:1,84%,"$16,081 USD",101,42.5%,1931,"Vestal, New York",1931,"16,913",2960,SUNY-at-Binghamton
Centre College,82%,"$43,300 USD",11:1,99%,"$25,326 USD",102,71.2%,1882,"Danville, Kentucky",1882,"1,367",1594,Centre-College
University of Connecticut,83%,"$54,000 USD",17:1,79%,"$18,931 USD",103,53.2%,1835,"Storrs, Connecticut",1835,"27,043",736,University-of-Connecticut
United States Air Force Academy,86%,,8:1,,,104,17.1%,1972,"Usafa, Colorado",1972,"4,111",717,United-States-Air-Force-Academy
University of Georgia,82%,"$47,300 USD",18:1,95%,"$13,280 USD",105,52.9%,1850,"Athens, Georgia",1850,"36,130",1028,University-of-Georgia
Clemson University,83%,"$50,800 USD",18:1,92%,"$16,622 USD",106,51.3%,1875,"Clemson, South Carolina",1875,"22,698",3882,Clemson-University
DePauw University,79%,"$47,700 USD",10:1,99%,"$29,549 USD",107,64.8%,1745,"Greencastle, Indiana",1745,"2,265",1329,DePauw-University
Albany College of Pharmacy and Health Sciences,72%,"$118,800 USD",9:1,100%,"$31,183 USD",108,65.9%,1725,"Albany, New York",1725,"1,482",2685,Albany-College-of-Pharmacy-and-Health-Sciences
Reed College,82%,"$35,200 USD",9:1,51%,"$19,192 USD",109,35.0%,2070,"Portland, Oregon",2070,"1,453",3538,Reed-College
United States Coast Guard Academy,91%,,8:1,,,110,19.9%,1870,"New London, Connecticut",1870,898,781,United-States-Coast-Guard-Academy
The University of Texas at Austin,79%,"$53,000 USD",18:1,63%,"$17,366 USD",111,39.2%,1915,"Austin, Texas",1915,"50,950",4254,The-University-of-Texas-at-Austin
University of California-Davis,81%,"$56,400 USD",18:1,76%,"$16,841 USD",112,38.0%,1795,"Davis, California",1795,"35,186",271,University-of-California-Davis
Tulane University of Louisiana,76%,"$52,900 USD",9:1,76%,"$32,075 USD",113,30.5%,2005,"New Orleans, Louisiana",2005,"12,485",1761,Tulane-University-of-Louisiana
Smith College,86%,"$44,400 USD",9:1,72%,"$26,318 USD",114,37.9%,1925,"Northampton, Massachusetts",1925,"2,874",1998,Smith-College
University of Washington-Seattle Campus,81%,"$53,700 USD",20:1,58%,"$9,744 USD",115,53.3%,1835,"Seattle, Washington",1835,"45,408",4522,University-of-Washington-Seattle-Campus
Denison University,81%,"$49,500 USD",10:1,99%,"$28,761 USD",116,47.9%,1890,"Granville, Ohio",1890,"2,254",3255,Denison-University
Colorado School of Mines,70%,"$75,700 USD",16:1,89%,"$24,297 USD",117,37.7%,1940,"Golden, Colorado",1940,"6,054",669,Colorado-School-of-Mines
University of Delaware,82%,"$54,900 USD",16:1,83%,"$15,149 USD",118,66.6%,1780,"Newark, Delaware",1780,"22,852",793,University-of-Delaware
Ohio State University-Main Campus,83%,"$42,900 USD",19:1,86%,"$18,502 USD",119,49.4%,1890,"Columbus, Ohio",1890,"58,663",3353,Ohio-State-University-Main-Campus
Wofford College,82%,"$49,700 USD",11:1,94%,"$25,136 USD",120,71.8%,1725,"Spartanburg, South Carolina",1725,"1,660",3931,Wofford-College
University of Minnesota-Twin Cities,75%,"$48,300 USD",17:1,79%,"$15,371 USD",121,44.6%,1940,"Minneapolis, Minnesota",1940,"50,678",2181,University-of-Minnesota-Twin-Cities
Virginia Military Institute,76%,"$59,200 USD",11:1,77%,"$15,197 USD",122,52.8%,1702,"Lexington, Virginia",1702,"1,717",4438,Virginia-Military-Institute
Connecticut College,84%,"$51,700 USD",9:1,53%,"$27,417 USD",123,40.0%,2000,"New London, Connecticut",2000,"1,922",733,Connecticut-College
United States Military Academy,84%,,7:1,,,123,10.2%,1905,"West  Point, New York",1905,"4,348",2999,United-States-Military-Academy
University of Miami,82%,"$54,500 USD",12:1,85%,"$35,444 USD",125,37.8%,1925,"Coral Gables, Florida",1925,"16,825",897,University-of-Miami
Illinois Wesleyan University,78%,"$54,400 USD",11:1,100%,"$31,409 USD",126,61.9%,1880,"Bloomington, Illinois",1880,"1,842",1196,Illinois-Wesleyan-University
Fordham University,81%,"$56,200 USD",14:1,91%,"$35,912 USD",127,47.6%,1895,"Bronx, New York",1895,"15,286",2786,Fordham-University
Muhlenberg College,86%,"$56,300 USD",11:1,89%,"$34,943 USD",128,48.4%,1860,"Allentown, Pennsylvania",1860,"2,397",3712,Muhlenberg-College
The Juilliard School,88%,"$29,000 USD",5:1,84%,"$29,657 USD",129,6.4%,,"New York, New York",,894,2815,The-Juilliard-School
Pepperdine University,80%,"$59,200 USD",13:1,81%,"$33,721 USD",130,38.1%,1810,"Malibu, California",1810,"7,632",532,Pepperdine-University
Saint Johns University,79%,"$56,100 USD",12:1,100%,"$24,775 USD",131,74.1%,1530,"Collegeville, Minnesota",1530,"1,869",2217,Saint-Johns-University
Dickinson College,86%,"$53,300 USD",10:1,75%,"$34,079 USD",132,47.1%,1912,"Carlisle, Pennsylvania",1912,"2,420",3614,Dickinson-College
United States Naval Academy,88%,,8:1,,,133,8.5%,1920,"Annapolis, Maryland",1920,"4,525",1866,United-States-Naval-Academy
Worcester Polytechnic Institute,81%,"$80,300 USD",13:1,97%,"$39,011 USD",134,48.5%,1895,"Worcester, Massachusetts",1895,"6,573",2015,Worcester-Polytechnic-Institute
Syracuse University,81%,"$56,600 USD",16:1,73%,"$30,727 USD",135,48.3%,1775,"Syracuse, New York",1775,"21,789",2983,Syracuse-University
College of Saint Benedict,82%,"$47,200 USD",12:1,100%,"$26,185 USD",136,74.1%,1570,"Saint Joseph, Minnesota",1570,"1,943",2213,College-of-Saint-Benedict
Southern Methodist University,79%,"$54,600 USD",11:1,73%,"$36,602 USD",137,49.0%,1960,"Dallas, Texas",1960,"11,643",4228,Southern-Methodist-University
St Lawrence University,80%,"$45,500 USD",11:1,96%,"$31,010 USD",138,46.2%,1725,"Canton, New York",1725,"2,472",2925,St-Lawrence-University
Stonehill College,85%,"$58,500 USD",12:1,98%,"$29,370 USD",139,75.2%,1695,"Easton, Massachusetts",1695,"2,400",2003,Stonehill-College
The College of Wooster,75%,"$46,400 USD",12:1,99%,"$28,038 USD",140,55.3%,1820,"Wooster, Ohio",1820,"2,050",3419,The-College-of-Wooster
University of the Sciences,72%,"$95,800 USD",10:1,100%,"$31,997 USD",141,58.0%,1705,"Philadelphia, Pennsylvania",1705,"2,664",3763,University-of-the-Sciences
Webb Institute,70%,,8:1,100%,"$18,149 USD",142,36.2%,2165,"Glen Cove, New York",2165,91,3006,Webb-Institute
Gustavus Adolphus College,82%,"$48,900 USD",11:1,98%,"$23,552 USD",143,67.1%,1815,"Saint Peter, Minnesota",1815,"2,379",2161,Gustavus-Adolphus-College
Northeastern University,83%,"$61,700 USD",14:1,75%,"$29,779 USD",144,28.5%,2110,"Boston, Massachusetts",2110,"19,940",1982,Northeastern-University
Widener University-Delaware Law School,80%,"$52,900 USD",7:1,80%,"$18,646 USD",145,,,"Wilmington, Delaware",,,4765,Widener-University-Delaware-Law-School
Berea College,62%,"$33,400 USD",10:1,100%,"$3,125 USD",146,36.5%,1712,"Berea, Kentucky",1712,"1,643",1588,Berea-College
Wheaton College,87%,"$42,500 USD",11:1,85%,"$27,792 USD",147,70.5%,1950,"Wheaton, Illinois",1950,"2,929",1315,Wheaton-College
Purdue University-Main Campus,70%,"$54,300 USD",12:1,63%,"$11,643 USD",148,59.0%,1775,"West Lafayette, Indiana",1775,"40,472",4756,Purdue-University-Main-Campus
American University,80%,"$55,900 USD",12:1,86%,"$34,812 USD",149,35.0%,1865,"Washington, District of Columbia",1865,"13,198",798,American-University
Pennsylvania State University-Main Campus,85%,"$47,700 USD",16:1,65%,"$24,992 USD",150,51.3%,1785,"University Park, Pennsylvania",1785,"47,307",3741,Pennsylvania-State-University-Main-Campus
Texas A&M University-College Station,79%,"$53,900 USD",20:1,78%,"$13,723 USD",151,66.6%,1740,"College Station, Texas",1740,"63,813",4251,Texas-A-And-M-University-College-Station
North Carolina State University at Raleigh,74%,"$47,600 USD",15:1,70%,"$13,575 USD",152,50.4%,1830,"Raleigh, North Carolina",1830,"34,015",3110,North-Carolina-State-University-at-Raleigh
Brigham Young University-Provo,78%,"$57,200 USD",20:1,70%,"$12,900 USD",153,48.0%,1860,"Provo, Utah",1860,"33,469",4294,Brigham-Young-University-Provo
Augustana College,78%,"$47,900 USD",12:1,100%,"$22,715 USD",154,49.3%,,"Rock Island, Illinois",,"2,478",1126,Augustana-College
Stony Brook University,66%,"$55,000 USD",17:1,76%,"$13,503 USD",155,41.0%,1865,"Stony Brook, New York",1865,"25,272",2962,Stony-Brook-University
Wabash College,69%,"$52,600 USD",10:1,99%,"$22,901 USD",156,61.4%,1680,"Crawfordsville, Indiana",1680,868,1425,Wabash-College
Southwestern University,70%,"$47,400 USD",12:1,100%,"$25,345 USD",157,44.2%,1732,"Georgetown, Texas",1732,"1,515",4233,Southwestern-University
Clarkson University,73%,"$68,300 USD",14:1,100%,"$29,666 USD",158,68.1%,1730,"Potsdam, New York",1730,"3,910",2734,Clarkson-University
Rutgers University-New Brunswick,79%,"$54,500 USD",15:1,69%,"$15,869 USD",159,58.5%,1825,"New Brunswick, New Jersey",1825,"49,428",2626,Rutgers-University-New-Brunswick
Miami University-Oxford,81%,"$45,500 USD",15:1,76%,"$20,871 USD",160,65.5%,1860,"Oxford, Ohio",1860,"19,076",3315,Miami-University-Oxford
Florida State University,77%,"$44,000 USD",25:1,88%,"$16,708 USD",161,55.9%,1800,"Tallahassee, Florida",1800,"40,830",857,Florida-State-University
Austin College,72%,"$47,800 USD",13:1,99%,"$23,690 USD",162,54.1%,1750,"Sherman, Texas",1750,"1,255",4084,Austin-College
California Polytechnic State University-San Luis Obispo,70%,"$61,800 USD",22:1,52%,"$18,238 USD",163,31.3%,1852,"San Luis Obispo, California",1852,"20,944",253,California-Polytechnic-State-University-San-Luis-Obispo
Pitzer College,82%,"$45,100 USD",11:1,46%,"$26,288 USD",164,13.5%,1920,"Claremont, California",1920,"1,067",534,Pitzer-College
University of Denver,78%,"$51,700 USD",11:1,85%,"$32,063 USD",165,72.7%,1795,"Denver, Colorado",1795,"11,797",682,University-of-Denver
University of Massachusetts-Amherst,73%,"$49,300 USD",18:1,91%,"$19,109 USD",166,58.3%,1830,"Amherst, Massachusetts",1830,"29,269",1948,University-of-Massachusetts-Amherst
Providence College,85%,"$57,700 USD",12:1,80%,"$34,836 USD",167,56.8%,1740,"Providence, Rhode Island",1740,"4,562",3857,Providence-College
Siena College,80%,"$54,200 USD",12:1,99%,"$25,116 USD",168,76.0%,1680,"Loudonville, New York",1680,"3,176",2933,Siena-College
University of Pittsburgh-Pittsburgh Campus,80%,"$48,800 USD",15:1,78%,"$24,311 USD",169,53.9%,1885,"Pittsburgh, Pennsylvania",1885,"28,649",3768,University-of-Pittsburgh-Pittsburgh-Campus
Elon University,82%,"$46,500 USD",12:1,63%,"$33,450 USD",170,57.2%,1800,"Elon, North Carolina",1800,"6,631",3058,Elon-University
Virginia Polytechnic Institute and State University,83%,"$59,000 USD",14:1,68%,"$18,398 USD",171,73.4%,1790,"Blacksburg, Virginia",1790,"32,663",4434,Virginia-Polytechnic-Institute-and-State-University
CUNY Bernard M Baruch College,67%,"$54,900 USD",17:1,82%,"$9,116 USD",172,32.4%,1845,"New York, New York",1845,"18,433",2753,CUNY-Bernard-M-Baruch-College
Gonzaga University,82%,"$53,000 USD",12:1,99%,"$32,111 USD",173,73.5%,1785,"Spokane, Washington",1785,"7,491",4476,Gonzaga-University
Creighton University,76%,"$57,100 USD",11:1,98%,"$29,226 USD",174,70.5%,1730,"Omaha, Nebraska",1730,"8,435",2460,Creighton-University
Mount Holyoke College,82%,"$44,100 USD",10:1,82%,"$26,082 USD",175,50.1%,,"South Hadley, Massachusetts",,"2,215",1964,Mount-Holyoke-College
Ripon College,74%,"$42,000 USD",11:1,100%,"$20,043 USD",176,66.1%,1657,"Ripon, Wisconsin",1657,794,4624,Ripon-College
SUNY College at Geneseo,79%,"$46,200 USD",20:1,74%,"$16,271 USD",177,72.7%,1792,"Geneseo, New York",1792,"5,699",2969,SUNY-College-at-Geneseo
University of Vermont,76%,"$43,900 USD",15:1,94%,"$17,297 USD",178,70.9%,1790,"Burlington, Vermont",1790,"12,815",4347,University-of-Vermont
Hope College,78%,"$42,900 USD",11:1,95%,"$25,856 USD",179,72.0%,1807,"Holland, Michigan",1807,"3,392",2066,Hope-College
Elizabethtown College,77%,"$48,000 USD",12:1,100%,"$28,572 USD",180,70.7%,1672,"Elizabethtown, Pennsylvania",1672,"1,820",3624,Elizabethtown-College
Illinois Institute of Technology,63%,"$69,300 USD",13:1,100%,"$23,371 USD",181,52.7%,1897,"Chicago, Illinois",1897,"7,792",1200,Illinois-Institute-of-Technology
Indiana University-Bloomington,77%,"$44,700 USD",17:1,71%,"$13,289 USD",182,78.0%,1740,"Bloomington, Indiana",1740,"48,514",1375,Indiana-University-Bloomington
Texas Christian University,76%,"$50,000 USD",13:1,77%,"$31,085 USD",183,43.3%,1765,"Fort Worth, Texas",1765,"10,323",4259,Texas-Christian-University
Sewanee-The University of the South,78%,"$40,600 USD",10:1,85%,"$29,239 USD",184,40.6%,1850,"Sewanee, Tennessee",1850,"1,797",4039,Sewanee-The-University-of-the-South
Michigan State University,78%,"$49,900 USD",17:1,66%,"$14,601 USD",185,66.3%,1640,"East Lansing, Michigan",1640,"50,538",2088,Michigan-State-University
Kalamazoo College,77%,"$51,700 USD",13:1,100%,"$25,906 USD",186,71.7%,1824,"Kalamazoo, Michigan",1824,"1,443",2070,Kalamazoo-College
James Madison University,81%,"$52,600 USD",16:1,63%,"$16,683 USD",187,72.6%,1695,"Harrisonburg, Virginia",1695,"21,227",4382,James-Madison-University
University of Scranton,82%,"$55,200 USD",10:1,96%,"$33,035 USD",188,72.2%,1695,"Scranton, Pennsylvania",1695,"5,422",3796,University-of-Scranton
University of California-Santa Cruz,73%,"$43,000 USD",18:1,82%,"$17,550 USD",189,50.3%,1745,"Santa Cruz, California",1745,"17,868",278,University-of-California-Santa-Cruz
Furman University,84%,"$46,700 USD",11:1,97%,"$31,062 USD",190,63.5%,1845,"Greenville, South Carolina",1845,"2,884",7970,Furman-University
Massachusetts Maritime Academy,67%,"$69,000 USD",16:1,92%,"$13,673 USD",191,73.9%,1575,"Buzzards Bay, Massachusetts",1575,"1,674",1955,Massachusetts-Maritime-Academy
Millsaps College,65%,"$45,600 USD",9:1,99%,"$22,512 USD",192,52.6%,1728,"Jackson, Mississippi",1728,809,2262,Millsaps-College
Knox College,79%,"$41,700 USD",11:1,99%,"$22,971 USD",193,63.8%,1910,"Galesburg, Illinois",1910,"1,397",1216,Knox-College
Drake University,70%,"$55,700 USD",13:1,99%,"$27,652 USD",194,66.9%,1822,"Des Moines, Iowa",1822,"4,991",1442,Drake-University
St Mary's College of Maryland,79%,"$47,700 USD",10:1,90%,"$20,087 USD",195,78.8%,1717,"St. Mary's City, Maryland",1717,"1,735",1857,St-Mary-s-College-of-Maryland
University of Tulsa,69%,"$43,600 USD",11:1,91%,"$25,355 USD",196,44.0%,1897,"Tulsa, Oklahoma",1897,"4,671",3481,University-of-Tulsa
Washington & Jefferson College,77%,"$47,900 USD",11:1,100%,"$27,315 USD",197,43.5%,1695,"Washington, Pennsylvania",1695,"1,350",3832,Washington-And-Jefferson-College
Apex School of Theology,100%,,17:1,94%,"$9,290 USD",198,,,"Durham, North Carolina",,,6266,Apex-School-of-Theology
SUNY College of Environmental Science and Forestry,71%,"$42,000 USD",16:1,89%,"$17,813 USD",199,51.9%,1815,"Syracuse, New York",1815,"2,222",2963,SUNY-College-of-Environmental-Science-and-Forestry
University of Dayton,77%,"$50,600 USD",16:1,94%,"$31,252 USD",200,57.5%,1705,"Dayton, Ohio",1705,"11,250",3253,University-of-Dayton
Saint John Fisher College,72%,"$45,200 USD",12:1,100%,"$25,419 USD",201,62.4%,1600,"Rochester, New York",1600,"3,823",2944,Saint-John-Fisher-College
Loyola University Maryland,84%,"$63,000 USD",11:1,83%,"$34,669 USD",202,60.9%,1775,"Baltimore, Maryland",1775,"6,050",1835,Loyola-University-Maryland
Curtis Institute of Music,85%,,2:1,62%,"$13,678 USD",203,4.4%,,"Philadelphia, Pennsylvania",,174,3609,Curtis-Institute-of-Music
University at Buffalo,72%,"$48,400 USD",13:1,77%,"$15,306 USD",204,60.0%,1740,"Buffalo, New York",1740,"29,796",2961,University-at-Buffalo
Loyola Marymount University,76%,"$54,100 USD",11:1,93%,"$40,226 USD",205,50.8%,1805,"Los Angeles, California",1805,"9,392",443,Loyola-Marymount-University
