College Name, Twitter Handle
Birmingham-Southern , FromTheHilltop
CBC , CBCollege
San Jose State , SJSU
St. Mary's University , StMarysU
The CIA , CIACulinary
UCLA , UCLA
University of Minnesota , UMNews
Blue Ridge CC , BlueRidgeCC
LakeAreaTech , LakeAreaTech
Spartanburg Community College , SCCyourCollege
University of Rio Grande and Rio Grande CC , RioEdu
Ohio State , OhioState
St. Olaf College , StOlaf
South Puget Sound CC , SPSCC
Hanover College , HanoverCollege
AZ State University , ASU
Adrian College , AdrianCollege
IU East , iueast
MontgomeryCountyCC , mccc
Baruch College , BaruchCollege
USciences , USciences
Augsburg University , AugsburgU
College Lake County , CLCNewsRoom
The Univ. of Alabama , UofAlabama
UMKC , UMKansasCity
Hope College , HopeCollege
ulmwarhawk , ulmwarhawk
Adams State , adamsstate
Naval War College , NavalWarCollege
Cal State Monterey Bay , CSUMB
Kirkwood , KirkwoodCC
Amherst College , AmherstCollege
Indiana University Bloomington , IUBloomington
VCC , myVCC
North Idaho College , NorthIdaho
SFSCPanthers , SFSCPanthers
UW-Stout , UWStout
NYU Tandon , nyutandon
Sac City College , SacCityCollege
William Jessup Univ. , williamjessup
NKU , nkuedu
Roger Williams Univ , myrwu
baystatecollege , baystatecollege
Kentucky Wesleyan , KyWesleyan
LSC-North Harris , LSCNorthHarris
Oregon State University , OregonState
DallasLearnSolutions , DallasLSolution
Stevenson University , StevensonU
Univ. of Illinois , Illinois_Alma
Penn State Altoona , PSAltoona
UCWV , UCWV
Thunderbird , Thunderbird
Berry College , berrycollege
UC Santa Barbara , ucsantabarbara
U.S. Naval Academy , NavalAcademy
NorthlandCTC , NorthlandCTC
DesMoinesUniversity , DesMoinesUniv
Tarleton State University , tarletonstate
Pace University , PaceUniversity
Stetson University , StetsonU
Harper College , HarperCollege
Loyola Chicago , LoyolaChicago
Stanford University , Stanford
WSU Vancouver , WSUVancouver
MSOE , MSOE
Springfield College , SpfldCollege
The New School , TheNewSchool
Sam Houston State , SamHoustonState
WashtenawCommCollege , washtenawcc
Tusculum , TusculumCollege
Southeastern LA Univ , oursoutheastern
North Park Univ. , NPU
WVU Mountaineers , WestVirginiaU
Emerson College , EmersonCollege
UT Arlington , utarlington
Leeward CC , LeewardCC
Pittsburg State , pittstate
Combined Arms Center , usacac
Indian Hills College , indianhills
PhilaU , PhiladelphiaU
Salve Regina , SalveRegina
Seattle Central , SeattleCentral
UT Brownsville , UTBrownsville
University of Hawaii , UHawaiiNews
Bellarmine University , bellarmineU
Shimer Great Books School , ShimerSchool
Cal State LA , CalStateLA
Washington University in St. Louis , WUSTL
ERAU Prescott , ERAUPrescott
Northwestern College , nwciowa
Grace College , gracecollege
Notre Dame of MD , NotreDameofMD
Grinnell College , GrinnellCollege
Utah State University , USUAggies
URI , universityofri
Saint Meinrad , SaintMeinrad
watkinscollege , watkinscollege
Mayville State , mayvillestate
University of Central Arkansas , ucabears
Regent University , RegentU
Orange Coast College , orangecoast
UnionUniversity , UnionUniversity
Nazareth College , NazarethCollege
FontbonneU , FontbonneU
Oakland University , oaklandu
UA Little Rock , UALR
Indiana State U , indianastate
Hennepin Tech , HennepinTech
Chapman University , ChapmanU
ERAU Worldwide , ERAUWorldwide
S. Arkansas Univ. , muleriders
Virginia Tech , virginia_tech
Whitworth University , whitworth
UW Oshkosh , uwoshkosh
University of Idaho , uidaho
Cornell College , CornellCollege
Cornell University , Cornell
Univ. of New Mexico , UNM
Fairfield University , FairfieldU
University of Denver , UofDenver
STLCOP , STLCOPedu
Walden University , WaldenU
LindseyWilson , LindseyWilson
Phillips Graduate , phillipsgrad
Anderson University , AndersonU
StL. Comm. College , STLCC
Lasell College , lasellcollege
RPInews , RPInews
UAMS , uamshealth
Berea College , bereacollege
Stonehill College , stonehill_info
Texas A&M University , TAMU
Cypress College , CypressCollege
Bradley University , bradleyu
UM-Dearborn , UM_Dearborn
Nicholls State Univ. , NichollsState
atlanticcape , atlanticcape
UMass Boston , UMassBoston
FlaglerCollege , FlaglerCollege
WSUSpokane , WSUSpokane
University of Tulsa , utulsa
WNE University , WNEUniversity
Kingsborough CC , KCCBrooklyn
Trinity University , Trinity_U
sunyoswego , sunyoswego
OtisCollege , OtisCollege
Chico State , ChicoState
Marist College , Marist
CSULB , CSULB
Mount Holyoke College , mtholyoke
McNeese , McNeese
Smith College Tweets , smithcollege
Seneca College , SenecaCollege
Tougaloo College , TougalooCollege
Rutgers-Newark , Rutgers_Newark
UH West O‘ahu , UHWestOahu
Illinois Tech , illinoistech
Saint Leo University , SaintLeoUniv
#EIU , eiu
Illinois Springfield , UISedu
Thomas College , ThomasCollege
Biola University , biolau
UA Anchorage , uaanchorage
Friends University , FriendsU
NOVA , NOVAcommcollege
Siena College , SienaCollege
UNO , UNOmaha
Stephens College , stephenscollege
UniversityofPhoenix , UOPX
San Diego State University , SDSU
UTHealth , UTHealth
Ohio University , ohiou
WPI , WPI
Drury University , DruryUniversity
NW Missouri State , NWMOSTATE
Daemen College , daemencollege
Webster University , websteru
Alfred University , alfredu
Boston College , BostonCollege
U. of North Alabama , north_alabama
Suffolk University , Suffolk_U
Wake Tech Students , wtccstudents
Caltech , Caltech
Davenport University , DavenportU
Asbury Seminary , AsburySeminary
Wheaton College (MA) , wheaton
Fox Valley Tech , FoxValleyTech
cerritoscollege , cerritoscollege
United Seminary , unitedseminary
The Sage Colleges , sage_edu
N.C. Central Univ. , NCCU
New Mexico State , nmsu
Emory University , EmoryUniversity
UGA , universityofga
Ozarka College , ozarkacollege
GRCC , grcc
Valparaiso University , ValpoU
Western Carolina , WCU
Berkeley College , BerkeleyCollege
ManchesterCC , ManchesterCC
UAB , UABNews
Williams College , WilliamsCollege
Dunwoody College , dunwoodycollege
Elgin Comm College , ElginCommColl
Jacksonville State University , JSUNews
Amarillo College , AmarilloCollege
Edmonds Comm_College , EdmondsCC
MUSC Health , MUSChealth
Lewis-Clark State , LCSC
piercecollege , piercecollege
IPFW , IPFW
Saint Mary's University of Minnesota , smumn
Robert Morris Univ. , RMU
University of Nebraska Medical Center , unmc
Simmons College , SimmonsCollege
Purdue University , LifeAtPurdue
Ithaca College , IthacaCollege
Univ. of Maryland , UofMaryland
UniversityoftheArts , UArts
KCC , KCCedu
FIDM , FIDM
University Tx Tyler , UTTyler
Millsaps College , millsapscollege
sacredheartuniv , sacredheartuniv
SD School of Mines , sdsmt
UNH Law , UNHLaw
A&M-Central Texas , TAMUCT
Oklahoma State Univ. , okstate
Iliff Edu-Denver , iliffontheroad
UC Davis , ucdavis
The CSU , calstate
UMass Dartmouth , UMassD
CU Denver , CUDenver
Bates College , BatesCollege
Western IL Univ , WesternILUniv
Morehead State , moreheadstate
Colby College , ColbyCollege
Winthrop University , winthropu
Monmouth University , monmouthu
Cerro Coso CC , cerrocoso
Randolph College , randolphcollege
Fresno Pacific Univ. , fpu
Elon University , elonuniversity
Grand Canyon U , gcu
Wheaton College , WheatonCollege
UW-Whitewater , UWWhitewater
Missouri State , MissouriState
Brookhaven College , brookhaven
RIT NEWS , RITNEWS
SUNY Potsdam , sunypotsdam1816
UW-Madison , UWMadison
MCPHS News , MCPHS
PurchaseCollege SUNY , SUNY_Purchase
UW-Milwaukee , UWM
U of Science Arts OK , usaodrovers
UT Austin , UTAustin
University of Richmond , urichmond
Southern Seminary , SBTS
St. Scholastica , StScholastica
Georgetown College , GtownCollege
Towson University , TowsonU
msubillings , msubillings
GeorgiaSouthern , GeorgiaSouthern
Concordia University , cuaa
University of Miami , univmiami
Concordia College , Concordia_MN
Broward College , BrowardCollege
GuilfordCollege , GuilfordCollege
Grand Valley State , GVSU
Ranken Technical College , ranken
UW-Platteville , uwplatteville
Ringling College , RinglingCollege
UCCS , UCCS
Massachusetts Institute of Technology (MIT) , MIT
WittenbergUniversity , wittenberg
UC San Francisco , UCSF
Loras College , lorascollege
SVSU , SVSU
Sherman College , shermancollege
TMCC , tmccnevada
Normandale College , normandale_cc
TCU , TCU
University of Akron , uakron
Kalamazoo College , kcollege
CSU Dominguez Hills , DominguezHills
Western Governors U. , wgu
Bucks County College , Bucks_edu
Multnomah University , multnomahu
Berklee College of Music , BerkleeCollege
Cayuga Comm College , CayugaCC
Yeshiva University , YUNews
Penn College , PennCollege
Cal State Fullerton , csuf
Tufts University , TuftsUniversity
Michigan Tech , michigantech
Wayne State College , waynestcollege
tacomacc , tacomacc
Ole Miss , OleMissRebels
Trine University , TrineUniversity
Ohio Northern Univ. , ohionorthern
Pine Tech & Comm Col , pinecollege
University of the Pacific , UOPacific
Humboldt State , humboldtstate
WTAMU , wtamu
Valdosta State , valdostastate
WWU , WWU
Lenoir-Rhyne Univ. , lenoirrhyne
Concordia Nebraska , CUNE
Le Moyne , LeMoyne
BristolCC , BristolCC
Univ. of Arizona 🐻⬇ , UofA
UMass Lowell , UMassLowell
SIUE , SIUE
Stephen F. Austin , SFASU
UC Merced , ucmerced
St. Norbert College , stnorbert
Southern Adventist U , SouthernNews
Central College , CentralCollege
Medaille College , MedailleCollege
Univ. of the Ozarks , UOzarks
SUNY New Paltz , newpaltz
Univ. of Rochester , UofR
VanderbiltU , VanderbiltU
USC Upstate , USCUpstate
CFCC , cfcc
ULM , ULM_Official
University of Utah , UUtah
Providence College , providencecol
Colorado Christian University , my_ccu
UCO Bronchos , UCOBronchos
Lincoln College , Lincolncollege
Saint Michael's , saintmichaels
CSU Channel Islands , csuci
Mayo Clinic , MayoClinic
SUNY Empire , SUNYEmpire
University of Iowa , uiowa
Wofford College , woffordcollege
Ohio Dominican , ohiodominican
Pitzer College , pitzercollege
Penn State Abington , PSUabington
Johns Hopkins U. , JohnsHopkins
Dallas Community Colleges 🎓 , dcccd
Colgate University , colgateuniv
Swarthmore College , swarthmore
Bowdoin College , BowdoinCollege
Rogers State U. , RogersStateU
UTHSC , uthsc
Charter Oak State , CharterOak
Oklahoma Christian U , okchristian
Roanoke College , RoanokeCollege
Franklin College , FranklinCollege
Goshen College , GoshenCollege
NJIT , NJIT
Pepperdine University , pepperdine
Texas Tech , TexasTech
Auburn University , AuburnU
USC Aiken , USCAiken
MD Anderson Cancer Center , MDAndersonNews
UW-Green Bay , uwgb
Aquinas College , AquinasCollege
SUNY Buffalo State , buffalostate
Oklahoma Wesleyan University , OKWUniv
PNCA , pnca
Mississippi State , msstate
Inter Ponce , InterPonce
Babson College , babson
The Art Institutes , Art_Institutes
Butler University , butleru
Cal State Northridge , csunorthridge
Adventist University , ADUnews
UC Santa Cruz , ucsc
Concordia University , concordiastpaul
Sterling College , sterlingcollege
Pacific University , pacificu
Drake University , DrakeUniversity
Missouri S&T , MissouriSandT
IUPUI , IUPUI
UT Pan American , UTPA
Bellevue University , BellevueU
PalmerCollege , palmercollege
Richland College 🎓 , richlandcollege
Wayne State Univ , waynestate
Gustavus Adolphus College , gustavus
Loyola Marymount University , LoyolaMarymount
Georgetown Univ. , Georgetown
GoldenGateUniversity , GGU
Rasmussen College , Rasmussen
Notre Dame , NotreDame
Saint Anselm College , SaintAnselm
Seton Hall , SetonHall
Yale University , Yale
Princeton University , Princeton
Seattle University , seattleu
Eckerd College , eckerdcollege
Hofstra University , HofstraU
Keene State College , KeeneState_
Calvin College , CalvinCollege
UVA , UVA
NYIT , nyit
