College Name, Twitter Handle
Manhattan College , ManhattanEdu
UH Maui College , UHMaui
WWUtournaments , WWUtournaments
RCBC , RowanBurlington
Alamo Colleges District , AlamoColleges1
GraniteStateCollege , GraniteStateCol
UMA , UMAugusta
Southwestern Univ. , SouthwesternU
Ohio State Marion , OSUMarion
Calhoun College , CalhounCollege
Southeast , KctcsSoutheast
Lawson State CC , LawsonStateCC
Albany State Univ , AlbanyStateUniv
Cal State San Marcos , CSUSM
Portage College , PortageCollege
York College , YorkCollegeNeb
Trident University , TridentUniv
Greenfield Community College , GfldCommCollege
Cincinnati State , CinState
PennStateHarrisburg , PSUHarrisburg
LIU Hudson , LIUHudson
BCC , BlkftComCollege
Marymount University , marymountu
Curry College , CurryEdu
STCL Houston , STCL_Houston
St. Louis Comm Coll , STLCC_Archers
UMPI , UMPIowls
Brunswick CC , Brunswick_CC
Davidson College , DavidsonCollege
BYU-Idaho , byuidaho
Prairie State College , PrairieStateCol
Western Iowa Tech , WesternIowaTech
Hunter College , Hunter_College
ShippensburgU , shippensburgU
U of Cincinnati , uofcincy
Pierce College , PierceCollegeCA
The Official HCCSW , HCC_Southwest
Morningside College , MorningsideEdu
Johnson C. Smith U. , JCSUniversity
CLTCC , goCLTCC
Governors State , Governors_State
William Peace Univ. , WPeaceU
Earlham College , earlham1847
Klamath CC , KlamathCC
SMSU Today , SMSUToday
Princeton Seminary , ptseminary
Virginia Union , VAUnion1865
UC San Diego , UCSanDiego
MCCN , mccnedu
Northwestern State , nsula
Santa Fe University , SantaFeU
Crown College , CrownCollege
Reconstructing Judaism , ReconJudaism
TTIC , TTIC_Connect
Grambling State Univ , Grambling1901
USC Beaufort , UofSCBeaufort
MT University System , MtUniversitySys
StThomasAquinasColl , STAC_edu
Sul Ross State , Sul_Ross
La Politécnica , pupr_edu
MilesCollege , MilesCollege
SWTJC , SWTJC
University of Montana , umontana
ResU , Resuniversity
Webb Institute , WebbInstitute
NEOMED , NEOMEDedu
New River CTC , newriverctc
Alice Lloyd College , ALCeagles
Christian Theological Seminary (CTS) , CTS_Indy
Saint John's School of Theology and Seminary , CollegevilleMN
Fort Lewis College , FLCDurango
BelmontAbbey , BelmontAbbey
Hood College , hood_college
UL Lafayette , ULLafayette
CollegeoftheAtlantic , collegeatlantic
Calvary University , CalvaryUniv
Ozark Christian , Ozark1942
FVCCMT , fvccmt
Louisiana College , LA_College
CSUB , CSUBakersfield
UVa-Wise (official) , UVa_Wise
UPIKE , upikebears
Touro Nevada , TouroNevada
Chipola College , ChipolaCollege
Florida Memorial University (Official) , FLMemorialUniv
TrinityCollegeQC , TrinityCollegQC
Navajo Tech , NavajoTech
Dalton State , DaltonState
Culver-Stockton , CSC1853
Perimeter College , GSU_Perimeter
Aspen University , aspenuniversity
Abraham Baldwin Agricultural College , ABAC_College
Colorado Mesa U , ColoradoMesaU
WGU Washington , WGUWashington
CDU , cdrewu
Trinity Bapt College , tbc_edu
CC of Philadelphia , CCPedu
Johnston CC , JCC_NC
Massasoit CC , MassasoitTweets
Wayne Comm. College , wayneccnc
UNC Charlotte , unccharlotte
Brescia University , BresciaPR
MCCS , MCCSme
EMCC , EMCC_Community
Coconino CC , CoconinoCC
Whitman College , whitmancollege
Wright State University (Dayton, OH) , wrightstate
Umaine at Fort Kent , UMaineFortKent
Rust College , Bearcat_News
UNOH.edu , UNOH_edu
Miami Dade College , MDCollege
Corning CC , corning_cc
Simpson College , SimpsonCollege
The College of Idaho , collegeofidaho
ThomasAquinasCollege , TACollege
Virginia Western CC , vawestern
Slippery Rock U ❄️ , slipperyrockU
Pitt-Johnstown , PittJohnstown
SUNY Optometry , sunyopt
UpperIowa , UpperIowa
SWBaptist University , SBUniv
Communications , CalCommColleges
SDMiramarCollege , SDMiramar
TCM International , TCMIntl
U. of New Hampshire , UofNH
Comm. Coll. of DC , CCofDC
Midstate College , midstatecollege
Southern University , SouthernU_BR
Chicago State University , ChicagoState
York County CC , YCCCMaine
GlobalHE , GlobalHE
Silver Lake College , SilverLake54220
Elms College , ElmsCollege
Methodist University , Methodist_News
LakeForestGradSchool , LFGSM
LCTCS , golctcs
Brookdale CC News , BrookdaleCCNews
U. of New Haven , UNewHaven
Surry CC , surrycc
South University , SouthU
OCU , OaklandCityU
WesternNevadaCollege , WNC_Information
Penn State Hazleton , PSUHazleton
Georgia Southwestern , GaSouthwestern
PSU Lehigh Valley , PSULehighValley
Great Bay CC , greatbaycc
US Military Academy , WestPoint_USMA
Lyme Academy College , LymeAcademy
TVCC , TrinityValleyCC
Columbia University , Columbia
FBBC&TS , faithedu
Central Carolina , CentralCarolina
SCI-Arc , sciarc
UTTC , UnitedTribesND
University of Nebraska , u_nebraska
Amer. Indian College , aicagphx
Polk State College , PolkState
CollegeofCentralFL , CFedu
Univ. of Mount Olive , OfficialUMO
Chaminade News , Chaminade_Univ
Inter SG , InterSG1912
Point University , PointUniv
IrvineValleyCollege , MyIrvineValley
MBKU , MBKetchumU
Monroe College , monroe_college
Southern Virginia U. , SVUedu
Northwestern Health U , NWHealthU
Texas A&M Galveston , AggiesByTheSea
Reformed Seminary , ReformTheoSem
College of Alameda , CollegeAlameda
SUNY GCC , sunygcc
Merritt College , MerrittCollege
Wayland Baptist Univ , WaylandBaptist
Montreat College , montreatcollege
Middlesex County Col , MiddlesexCounCo
Williston State , willistonstate
Taylor University , tayloru
Eastern CT State U. , EasternCTStateU
National University , nuhsedu
Oberlin College , oberlincollege
CMC Leadville , CMCLeadville
#MontanaState , montanastate
Grossmont-Cuyamaca , gcccdtweets
Haskell University , HaskellU
ScottsdaleCC , ScottsdaleCC
Purdue North Central , PURDUENC
Reynolds , ReynoldsCollege
Philander Smith , PhilanderSmith
CCRI , CCRINews
Carlos Albizu Univer , carlosalbizuITU
SouthArk , SouthArkCC
Corcoran School @ GW , CorcoranGW
Prince George's CC , pgccnews
Arapahoe CC , ArapahoeCC
City Colleges Chicago , ChiCityColleges
UAFS , UAFS
VMI News , VMInews
SUNY Sullivan , suny_sullivan
IowaStateU , IowaStateU
StVincents MedCenter , StVincentsMC
Rose-Hulman , RoseHulman
NJ City University , NJCUniversity
SanDiegoMesaCollege , sdmesacollege
Thomas More College , ThomasMoreKY
Virginia Wesleyan , vawesleyan
PCOM , PCOMeducation
Vaughn College , VaughnCollege
Humphreys University , humphreysedu
NY Medical College , nymedcollege
Southwestern College , swc_news
UAA , UAApuertorico
UH Manoa , uhmanoa
SUNY Maritime , MaritimeCollege
Madonna University , MadonnaU
CorporateCollege-Laf , IvyTechWorks
Universidad Turabo , UniTurabo
Marymount College , MCAdvantage
Itawamba CC , ItawambaCC
Morrisville State , sunymorrisville
Tunxis Comm. College , tunxiscc
Alliant , AlliantU
Marylhurst Univ. , Marylhurst
SCNM , SCNMAZ
Seattle Colleges , SeattleColleges
Cty College Morris , CCM_edu
MWCC , MountWachusett
CollegeOfTheOzarks , CofOHardWorkU
UMass Medical School , UMassMedical
PVCC , PiedmontVaCC
Bethel College , bethelks
UT System , utsystem
Laney College , LaneyCollege
Lexington College , LexCollege
CGA Bears , CoastGuardBears
Southwestern College , Southwesternsf
Newbury College , NewburyColl
LIU Brooklyn , LIUBrooklyn
Stillman College , StillmanCollege
Midland University , MidlandU
Missouri Community College Association , MCCATweet
Univ. of Baltimore , EubieBee
Lawrence Tech , LawrenceTechU
MGH Institute , MGHInstitute
